name,minutes,icpsr
donald trump,"232,676",99912
barack obama,"128,166",99911
hillary clinton,"46,362",40105
joe biden,"34,132",14101
mike huckabee,"31,217",S2AR00032
mitt romney,"28,435",41902
bernie sanders,"25,668",29147
newt gingrich,"23,840",14627
mike pence,"22,085",20117
nancy pelosi,"19,776",15448
ted cruz,"19,226",41304
paul ryan,"18,376",29939
nicolle wallace,"17,721",
adam schiff,"17,625",20104
rick santorum,"16,401",29141
eugene robinson,"16,151",
john mccain,"16,035",15039
david gregory,"15,664",
lindsey graham,"15,358",29566
chris christie,"15,179",NJ90695
michael steele,"14,778",S6MD03201
john boehner,"14,589",29137
marco rubio,"14,368",41102
rand paul,"13,906",41104
sean spicer,"13,877",
bill clinton,"13,833",99909
john r bolton,"12,911",
david gergen,"12,883",
robert mueller,"12,831",
elizabeth warren,"12,793",41301
mitch mcconnell,"12,338",14921
christopher michael cillizza,"11,824",
rudy giuliani,"11,462",P00003251
andrew cuomo,"11,429",NY13066
jason chaffetz,"11,387",20949
james comey,"11,367",
john kasich,"11,043",15030
david corn,"10,726",
kirsten powers,"10,262",
mike barnicle,"10,255",
david axelrod,"9,936",
vladimir putin,"9,670",
jonathan capehart,"9,639",
ben carson,"9,601",C00548420  
anita decker breckenridge,"9,317",
jeb bush,"9,244",FL3310
han bennink,"9,171",
robert costa,"8,985",
kamala harris,"8,881",41701
chuck schumer,"8,613",14858
michele bachmann,"8,456",20728
howard fineman,"8,407",
kellyanne conway,"8,374",
john kerry,"8,364",14920
catherine herridge,"8,318",
dan bongino,"8,167",H6FL19095
a b stoddard,"8,123",
sarah palin,"7,925",
jenna lee,"7,923",
kim jong-un,"7,891",
cory booker,"7,818",41308
ana navarro,"7,803",
karen finney,"7,733",
paul begala,"7,661",
pete buttigieg,"7,587",
herman cain,"7,547",P00003608
mike pompeo,"7,485",21136
stephen moore,"7,379",
karlheinz kopf,"7,322",
michael d cohen,"7,303",H4CT03025
kayleigh mcenany,"7,287",
reince priebus,"7,130",WI128222
eric swalwell,"6,851",21306
jerrold nadler,"6,763",29377
peter t king,"6,744",29375
jon meacham,"6,715",
ezra klein,"6,707",
juliette kayyem,"6,624",
anthony s fauci,"6,614",
kevin mccarthy,"6,604",20703
alan dershowitz,"6,577",
april ryan,"6,537",
william kristol,"6,523",
george w bush,"6,486",99910
carl cameron,"6,462",
david chalian,"6,462",
michael t flynn,"6,430",H6MI10185
ryan lizza,"6,293",
ben ferguson,"6,175",
jay carney,"6,086",
jeff lord,"5,982",
douglas schoen,"5,962",H2NY08013
ed rendell,"5,952",PA6810
benjamin netanyahu,"5,946",
amy klobuchar,"5,917",40700
richard blumenthal,"5,914",41101
devin nunes,"5,886",20307
trey gowdy,"5,814",21175
george zimmerman,"5,741",H4MI04142
scott walker,"5,730",H6DE00214
darrell issa,"5,653",20107
ron paul,"5,652",14290
steve schmidt,"5,625",H0TX24027
luke russert,"5,605",
ann coulter,"5,576",
howard dean,"5,534",P40002214
kennedy,"5,449",
chris coons,"5,437",40916
bakari sellers,"5,368",SC7837
charles hurt,"5,334",TN114074
joan walsh,"5,287",
stephen f hayes,"5,260",
larry sabato,"5,257",
elijah cummings,"5,256",29587
jim jordan,"5,226",20738
john harwood,"5,174",
jeremy bash,"5,142",
chris van hollen,"5,131",20330
josh earnest,"5,088",
paul manafort,"5,075",
jonathan alter,"5,032",
anthony scaramucci,"5,009",
john o brennan,"4,854",
michael bloomberg,"4,845",C00431528
carl bernstein,"4,816",
eric holder,"4,803",
pat buchanan,"4,798",P80000805
bernard goldberg,"4,797",
tim kaine,"4,794",41305
jay sekulow,"4,783",
brett kavanaugh,"4,781",
eliot spitzer,"4,736",NY19490
douglas brinkley,"4,730",
dennis miller,"4,726",
e j dionne,"4,724",
heather nauert,"4,724",
harry reid,"4,718",15054
marc lamont hill,"4,679",H4TX08014
mark steyn,"4,668",
carly fiorina,"4,663",S0CA00330
isabel gemio,"4,659",
bill de blasio,"4,657",nyc326
jamie colby,"4,629",
donna brazile,"4,618",
angela rye,"4,599",
william devane,"4,543",
rick perry,"4,539",P20003281
mary katharine ham,"4,528",
claire mccaskill,"4,524",40701
michelle obama,"4,482",
austan goolsbee,"4,475",
malcolm nance,"4,468",
john barrasso,"4,450",40707
chris murphy,"4,389",SC142654
rick wilson,"4,387",H0MI05063  
michael eric dyson,"4,320",
james clapper,"4,318",
richard n haass,"4,301",
richard wolffe,"4,269",VT122740
dick morris,"4,257",
richard a fowler,"4,229",
allen west,"4,225",21119
david ignatius,"4,216",
john dean,"4,184",
sebastian gorka,"4,173",
touré,"4,155",
john kirby,"4,148",MT77682
eric cantor,"4,136",20144
david frum,"4,121",
michael isikoff,"4,095",
robert gibbs,"4,079",21165
james rosen,"4,063",
steve scalise,"4,044",20759
robert baer,"4,042",
jim clyburn,"4,040",39301
jared kushner,"4,036",
dianne feinstein,"4,029",49300
james carville,"3,978",
isha sesay,"3,961",
jack kingston,"3,950",29338
dzhokhar a tsarnaev,"3,938",
melania trump,"3,920",
jason a johnson,"3,919",
ken cuccinelli,"3,908",VA7162
dana loesch,"3,847",
mark omara,"3,847",
steny hoyer,"3,845",14873
steven mnuchin,"3,842",
joe trippi,"3,831",
anthony weiner,"3,811",29926
joe manchin,"3,771",40915
jennifer rubin,"3,758",
michelle malkin,"3,749",
michael mcfaul,"3,729",
tom steyer,"3,709",
bob corker,"3,705",40705
haley barbour,"3,695",P80005291
leon panetta,"3,692",14444
sunny hostin,"3,669",
donald trump jr,"3,667",
mike baker,"3,647",WY11386
stephen k bannon,"3,643",
marie harf,"3,638",
susan page,"3,636",
rex w tillerson,"3,606",
debbie wasserman schultz,"3,577",20504
mark meadows,"3,563",21348
ralph peters,"3,532",ID137735
bob menendez,"3,530",29373
michael moore,"3,524",
kirsten gillibrand,"3,516",20735
erick erickson,"3,502",
corey lewandowski,"3,499",
brodus clay,"3,484",
charlie sykes,"3,476",
ron johnson,"3,445",41111
jonathan nolan,"3,434",
robert reich,"3,430",MA137920
michael hayden,"3,429",
matt gaetz,"3,427",21719
frances townsend,"3,424",
dana milbank,"3,417",
steven rattner,"3,413",
sherrod brown,"3,412",29389
hugh hewitt,"3,405",
keith morrison,"3,399",
amanda carpenter,"3,341",
jeffrey goldberg,"3,334",
susan rice,"3,333",
gordon g chang,"3,303",
hakeem jeffries,"3,303",21343
mike lee,"3,285",41110
susan collins,"3,267",49703
john cornyn,"3,262",40305
mollie hemingway,"3,247",
frank luntz,"3,242",
maxine waters,"3,237",29106
neera tanden,"3,231",
charlie dent,"3,217",
vadim gluzman,"3,207",
bob woodward,"3,194",
eddie glaude,"3,166",
mark warner,"3,163",40909
katrina pierson,"3,160",H4TX32022
ronald reagan,"3,155",99907
mercedes schlapp,"3,152",
david cay johnston,"3,143",
john garamendi,"3,120",20958
charles m blow,"3,109",
scott brown,"3,103",40913
katty kay,"3,098",
tom price,"3,098",20505
lori greiner,"3,096",
ron desantis,"3,094",21318
ben cardin,"3,092",15408
edward snowden,"3,091",
jvee casio,"3,081",
jennifer granholm,"3,077",MI14435
roger stone,"3,076",
max boot,"3,070",
john f kelly,"3,069",
jon stewart,"3,054",
beto orourke,"3,047",
nikki haley,"3,035",SC6845
rick scott,"3,034",S8FL00273
lis wiehl,"2,999",
cenk uygur,"2,997",
barney frank,"2,987",14824
julián castro,"2,975",
richard grenell,"2,965",
jeff flake,"2,960",20100
kathleen sebelius,"2,953",
angus king,"2,951",41300
patrick caddell,"2,941",
neal katyal,"2,935",
ben stein,"2,927",
harold ford jr,"2,898",29756
sheila jackson lee,"2,869",29573
frank bruni,"2,853",
joe theismann,"2,835",
tom cotton,"2,831",21301
tim williams,"2,826",
patti ann browne,"2,824",
margaret hoover,"2,812",
ryan mcdonough,"2,792",
benjamin crump,"2,789",
jen psaki,"2,787",
john thune,"2,774",29754
zoraida sambolin,"2,774",
jack cafferty,"2,769",
margaret nagle,"2,759",
jon huntsman jr,"2,739",
peter bergen,"2,737",
bill richardson,"2,727",N00024821  
josh barro,"2,725",
chuck grassley,"2,721",14226
jason miller,"2,719",
keith ellison,"2,715",20727
k t mcfarland,"2,700",
jim himes,"2,691",20907
jackie speier,"2,684",20762
bill maher,"2,677",
tim pawlenty,"2,667",P20002556
rush limbaugh,"2,666",
chuck hagel,"2,661",49704
joanne nosuchinsky,"2,644",
jacob soboroff,"2,643",
james mattis,"2,630",
george will,"2,629",
jonah goldberg,"2,623",
tom selleck,"2,622",
tim ryan,"2,619",20343
nicholas kristof,"2,615",
carlos lópez-cantera,"2,610",
fred thompson,"2,597",49503
ivanka trump,"2,595",
jackie kucinich,"2,583",
peter beinart,"2,573",
steve king,"2,568",20325
megalyn echikunwoke,"2,567",
joaquin castro,"2,547",21362
doug collins,"2,545",21323
tim scott,"2,534",21173
oliver north,"2,530",S4VA00056
david cicilline,"2,527",21172
hilary rosen,"2,517",
bob hope,"2,510",
maria timmer,"2,507",
drew pinsky,"2,499",
monika jaruzelska,"2,491",
bobby jindal,"2,486",20512
george h w bush,"2,484",99908
dean obeidallah,"2,476",
donna edwards,"2,465",20763
stephen colbert,"2,462",
ruth bader ginsburg,"2,457",
jimmy fallon,"2,456",
tom perez,"2,452",MD60913
