name,is a news presenter?,total screen time (in minutes)
donald trump,,"232,676"
anderson cooper,CNN,"135,346"
barack obama,,"128,166"
don lemon,CNN,"89,302"
rachel maddow,MSNBC,"88,971"
sean hannity,FOXNEWS,"79,988"
chris matthews,MSNBC,"78,685"
tucker carlson,FOXNEWS,"71,802"
bill oreilly,FOXNEWS,"70,609"
joe scarborough,MSNBC,"69,035"
chris hayes,MSNBC,"62,679"
chris cuomo,CNN,"60,535"
brooke baldwin,CNN,"60,230"
wolf blitzer,CNN,"58,572"
greg gutfeld,FOXNEWS,"54,666"
neil cavuto,FOXNEWS,"54,429"
lawrence odonnell,MSNBC,"53,041"
mika brzezinski,MSNBC,"50,603"
megyn kelly,FOXNEWS,"49,471"
brian kilmeade,FOXNEWS,"47,090"
hillary clinton,,"46,362"
john berman,CNN,"45,520"
erin burnett,CNN,"42,726"
laura ingraham,FOXNEWS,"41,495"
martha maccallum,FOXNEWS,"41,444"
chuck todd,MSNBC,"40,435"
jeanine pirro,FOXNEWS,"38,550"
bret baier,FOXNEWS,"38,510"
ali velshi,"CNN, MSNBC","37,364"
shannon bream,FOXNEWS,"35,768"
ari melber,MSNBC,"34,453"
joe biden,,"34,132"
ed schultz,MSNBC,"33,995"
fredricka whitfield,CNN,"33,636"
dana perino,FOXNEWS,"32,895"
jake tapper,CNN,"32,033"
greta van susteren,"FOXNEWS, MSNBC","31,772"
mike huckabee,,"31,217"
john king,CNN,"30,030"
alisyn camerota,"CNN, FOXNEWS","28,938"
mitt romney,,"28,435"
andrea mitchell,MSNBC,"28,149"
brian williams,MSNBC,"27,916"
chris wallace,FOXNEWS,"27,364"
piers morgan,CNN,"27,280"
joy-ann reid,MSNBC,"26,902"
bill hemmer,"CNN, FOXNEWS","26,686"
steve doocy,FOXNEWS,"26,531"
juan williams,FOXNEWS,"26,527"
dana bash,CNN,"26,395"
steve kornacki,MSNBC,"26,189"
jesse watters,FOXNEWS,"25,910"
bernie sanders,,"25,668"
al sharpton,MSNBC,"24,965"
willie geist,MSNBC,"24,935"
ed henry,FOXNEWS,"24,604"
eric bolling,FOXNEWS,"24,589"
jim sciutto,CNN,"24,068"
newt gingrich,,"23,840"
kate bolduan,CNN,"23,812"
brianna keilar,CNN,"23,542"
shepard smith,FOXNEWS,"23,233"
sanjay gupta,CNN,"23,098"
mike pence,,"22,085"
harris faulkner,FOXNEWS,"22,046"
christine romans,CNN,"20,018"
nancy pelosi,,"19,776"
glenn beck,FOXNEWS,"19,645"
ted cruz,,"19,226"
jon scott,FOXNEWS,"19,188"
howard kurtz,"CNN, FOXNEWS","18,923"
jeffrey toobin,CNN,"18,829"
bob beckel,FOXNEWS,"18,758"
carol costello,CNN,"18,545"
karl rove,FOXNEWS,"18,502"
paul ryan,,"18,376"
ainsley earhardt,FOXNEWS,"18,072"
alex witt,MSNBC,"17,973"
charles krauthammer,FOXNEWS,"17,826"
chris jansing,MSNBC,"17,779"
nicolle wallace,,"17,721"
adam schiff,,"17,625"
michael smerconish,CNN,"17,621"
gloria borger,CNN,"17,614"
fareed zakaria,CNN,"16,966"
rick santorum,,"16,401"
jim acosta,CNN,"16,276"
eugene robinson,,"16,151"
gretchen carlson,FOXNEWS,"16,130"
john mccain,,"16,035"
kimberly guilfoyle,FOXNEWS,"15,877"
poppy harlow,CNN,"15,866"
andrew levy,CNN,"15,864"
geraldo rivera,FOXNEWS,"15,787"
david gregory,,"15,664"
lindsey graham,,"15,358"
katy tur,MSNBC,"15,225"
chris christie,,"15,179"
michael steele,,"14,778"
john boehner,,"14,589"
kristen welker,MSNBC,"14,404"
marco rubio,,"14,368"
rand paul,,"13,906"
sean spicer,,"13,877"
bill clinton,,"13,833"
brian stelter,CNN,"13,592"
melissa harris-perry,MSNBC,"13,524"
heather childers,FOXNEWS,"13,452"
ayman mohyeldin,MSNBC,"13,315"
craig melvin,MSNBC,"13,222"
john r bolton,,"12,911"
david gergen,,"12,883"
clayton morris,FOXNEWS,"12,840"
robert mueller,,"12,831"
elizabeth warren,,"12,793"
tamron hall,MSNBC,"12,386"
mitch mcconnell,,"12,338"
ashleigh banfield,CNN,"11,994"
thomas roberts,MSNBC,"11,932"
christopher michael cillizza,,"11,824"
van jones,CNN,"11,758"
brit hume,FOXNEWS,"11,651"
rudy giuliani,,"11,462"
andrew cuomo,,"11,429"
jason chaffetz,,"11,387"
james comey,,"11,367"
alex wagner,MSNBC,"11,348"
john kasich,,"11,043"
john heilemann,MSNBC,"11,008"
david corn,,"10,726"
andrea tantaros,FOXNEWS,"10,651"
stephanie ruhle,MSNBC,"10,434"
anthony bourdain,CNN,"10,364"
barbara starr,CNN,"10,289"
kirsten powers,,"10,262"
mike barnicle,,"10,255"
mark halperin,MSNBC,"10,094"
david axelrod,,"9,936"
vladimir putin,,"9,670"
jonathan capehart,,"9,639"
ben carson,,"9,601"
tom shillue,FOXNEWS,"9,420"
eric shawn,FOXNEWS,"9,337"
anita decker breckenridge,,"9,317"
jeb bush,,"9,244"
randi kaye,CNN,"9,174"
han bennink,,"9,171"
nic robertson,CNN,"9,015"
robert costa,,"8,985"
kamala harris,,"8,881"
candy crowley,CNN,"8,720"
andrew napolitano,FOXNEWS,"8,624"
chuck schumer,,"8,613"
kasie hunt,MSNBC,"8,566"
michele bachmann,,"8,456"
victor blackwell,CNN,"8,445"
steve hilton,FOXNEWS,"8,434"
howard fineman,,"8,407"
kellyanne conway,,"8,374"
john kerry,,"8,364"
jeff zeleny,CNN,"8,360"
catherine herridge,,"8,318"
dan bongino,,"8,167"
a b stoddard,,"8,123"
arthel neville,FOXNEWS,"7,992"
john roberts,"CNN, FOXNEWS","7,974"
hallie jackson,MSNBC,"7,972"
stuart varney,FOXNEWS,"7,946"
sarah palin,,"7,925"
jenna lee,,"7,923"
kim jong-un,,"7,891"
cory booker,,"7,818"
ana navarro,,"7,803"
richard engel,MSNBC,"7,790"
charles payne,FOXNEWS,"7,768"
keith olbermann,MSNBC,"7,768"
karen finney,,"7,733"
martin bashir,MSNBC,"7,731"
t j holmes,CNN,"7,728"
paul begala,,"7,661"
pete buttigieg,,"7,587"
john stossel,FOXNEWS,"7,561"
mike emanuel,FOXNEWS,"7,561"
herman cain,,"7,547"
joe johns,CNN,"7,528"
mike pompeo,,"7,485"
stephen moore,,"7,379"
karlheinz kopf,,"7,322"
michael d cohen,,"7,303"
kayleigh mcenany,,"7,287"
melissa francis,FOXNEWS,"7,248"
suzanne malveaux,CNN,"7,244"
katie pavlich,FOXNEWS,"7,215"
paul gigot,FOXNEWS,"7,168"
pete williams,MSNBC,"7,167"
reince priebus,,"7,130"
dylan ratigan,MSNBC,"7,099"
maria bartiromo,FOXNEWS,"6,974"
jedediah bila,FOXNEWS,"6,972"
pamela brown,CNN,"6,972"
eric swalwell,,"6,851"
erica hill,CNN,"6,826"
julie banderas,FOXNEWS,"6,806"
rosemary church,CNN,"6,768"
jerrold nadler,,"6,763"
peter t king,,"6,744"
jon meacham,,"6,715"
alison kosik,CNN,"6,709"
ezra klein,,"6,707"
juliette kayyem,,"6,624"
christi paul,CNN,"6,622"
anthony s fauci,,"6,614"
kevin mccarthy,,"6,604"
mark levin,FOXNEWS,"6,590"
alan dershowitz,,"6,577"
april ryan,,"6,537"
william kristol,,"6,523"
peter alexander,MSNBC,"6,491"
george w bush,,"6,486"
carl cameron,,"6,462"
david chalian,,"6,462"
michael t flynn,,"6,430"
krystal ball,MSNBC,"6,329"
ryan lizza,,"6,293"
martin savidge,CNN,"6,232"
ben ferguson,,"6,175"
byron york,FOXNEWS,"6,167"
jay carney,,"6,086"
kyra phillips,CNN,"6,045"
jeff lord,,"5,982"
katherine timpf,FOXNEWS,"5,963"
douglas schoen,,"5,962"
ed rendell,,"5,952"
benjamin netanyahu,,"5,946"
richard quest,CNN,"5,942"
peter doocy,FOXNEWS,"5,936"
amy klobuchar,,"5,917"
richard blumenthal,,"5,914"
devin nunes,,"5,886"
tammy bruce,FOXNEWS,"5,870"
trey gowdy,,"5,814"
soledad obrien,CNN,"5,780"
george zimmerman,,"5,741"
scott walker,,"5,730"
sandra smith,FOXNEWS,"5,710"
drew griffin,CNN,"5,660"
darrell issa,,"5,653"
ron paul,,"5,652"
steve schmidt,,"5,625"
luke russert,,"5,605"
jose diaz-balart,MSNBC,"5,581"
ann coulter,,"5,576"
howard dean,,"5,534"
leslie marshall,FOXNEWS,"5,450"
kennedy,,"5,449"
chris coons,,"5,437"
bakari sellers,,"5,368"
charles hurt,,"5,334"
larry king,CNN,"5,332"
joan walsh,,"5,287"
stephen f hayes,,"5,260"
larry sabato,,"5,257"
elijah cummings,,"5,256"
jim jordan,,"5,226"
monica crowley,FOXNEWS,"5,195"
john harwood,,"5,174"
s e cupp,CNN,"5,167"
jeremy bash,,"5,142"
chris van hollen,,"5,131"
ari fleischer,FOXNEWS,"5,124"
josh earnest,,"5,088"
paul manafort,,"5,075"
jonathan alter,,"5,032"
anthony scaramucci,,"5,009"
abby huntsman,"FOXNEWS, MSNBC","4,994"
christiane amanpour,CNN,"4,950"
deborah feyerick,CNN,"4,914"
mike rogers,CNN,"4,896"
frederik pleitgen,CNN,"4,884"
elisabeth hasselbeck,FOXNEWS,"4,883"
john o brennan,,"4,854"
michael bloomberg,,"4,845"
carl bernstein,,"4,816"
eric holder,,"4,803"
pat buchanan,,"4,798"
bernard goldberg,,"4,797"
tim kaine,,"4,794"
jay sekulow,,"4,783"
brett kavanaugh,,"4,781"
nick paton walsh,CNN,"4,741"
eliot spitzer,,"4,736"
douglas brinkley,,"4,730"
dennis miller,,"4,726"
e j dionne,,"4,724"
heather nauert,,"4,724"
harry reid,,"4,718"
marc lamont hill,,"4,679"
mark steyn,,"4,668"
carly fiorina,,"4,663"
isabel gemio,,"4,659"
bill de blasio,,"4,657"
jamie colby,,"4,629"
donna brazile,,"4,618"
angela rye,,"4,599"
kelly odonnell,MSNBC,"4,571"
jessica yellin,CNN,"4,546"
william devane,,"4,543"
rick perry,,"4,539"
mary katharine ham,,"4,528"
claire mccaskill,,"4,524"
kimberley strassel,FOXNEWS,"4,512"
michelle obama,,"4,482"
