contributor.cfscore,cycle,district,dwnom1,icpsr,dime_name,party,recipient.cfscore,seat,state,congress,chamber,vv_name,nominate_dim1,nominate_log_likelihood,nominate_geo_mean_probability,nokken_poole_dim1,sctv_name,minutes
,1982.0,CA27,,H2CA27065,"prager, dennis",D,-0.752,federal:house,CA,,,,,,,,dennis prager,870
,1984.0,NY08,,H2NY08013,"schoen, douglas",D,-0.35600000000000004,federal:house,NY,,,,,,,,douglas schoen,"5,962"
,1986.0,TX08,,H4TX08014,"hill, marc",D,-0.10400000000000001,federal:house,TX,,,,,,,,marc lamont hill,"4,679"
,1986.0,NY06,,H6NY06083,"dietl, richard a",R,0.654,federal:house,NY,,,,,,,,bo dietl,"1,261"
,1986.0,NHS80,,S0NH00045,"sununu, john h",R,0.708,federal:senate,NH,,,,,,,,john h sununu,"2,191"
,1986.0,CAS86,,S6CA00121,"laffer, arthur b",R,0.823,federal:senate,CA,,,,,,,,arthur laffer,"1,194"
0.853,1988.0,PRES,0.6890000000000001,99907,"reagan, ronald",R,0.9840000000000001,federal:president,00,100.0,President,"REAGAN, Ronald Wilson",0.6920000000000001,-78.78681999999999,0.7709999999999999,,ronald reagan,"3,155"
,1990.0,PRES,-0.504,99906,"carter, jimmy",D,-0.318,federal:president,00,96.0,President,"CARTER, James Earl, Jr.",-0.504,-162.52078,0.72,,jimmy carter,"1,555"
0.9359999999999999,1992.0,ID-24,,ID137735,"peters, ralph b",R,0.764,state:upper,ID,,,,,,,,ralph peters,"3,532"
,1992.0,CAS88,,S8CA00051,"press, bill",D,-1.005,federal:senate,CA,,,,,,,,bill press,"1,830"
,1994.0,CA17,-0.261,14444,"panetta, leon e",D,-0.40299999999999997,federal:house,CA,103.0,House,"PANETTA, Leon Edward",-0.258,-215.90963,0.755,-0.76,leon panetta,"3,692"
,1996.0,INS80,-0.408,10800,"bayh, birch e. jr.",D,-0.609,federal:senate,IN,96.0,Senate,"BAYH, Birch Evans",-0.408,-248.95763,0.7040000000000001,-0.368,evan bayh,969
,1996.0,MES96,0.095,14010,"cohen, william s.",R,0.203,federal:senate,ME,104.0,Senate,"COHEN, William Sebastian",0.1,-297.22213,0.6859999999999999,0.04,william cohen,"1,190"
1.054,1996.0,WY01,0.527,14611,"cheney, richard bruce",R,0.765,federal:house,WY,101.0,House,"CHENEY, Richard Bruce",0.523,-195.6798,0.741,0.46,dick cheney,"2,181"
1.171,1996.0,WYS96,0.321,14710,"simpson, alan kooi",R,0.625,federal:senate,WY,104.0,Senate,"SIMPSON, Alan Kooi",0.322,-215.82002000000003,0.758,0.215,alan k simpson,787
,1996.0,CA49,,H6CA49029,"navarro, peter",D,-0.9309999999999999,federal:house,CA,,,,,,,,peter navarro,"1,852"
,1996.0,TN-32,,TN114074,"hurt, charles g",R,0.47600000000000003,state:upper,TN,,,,,,,,charles hurt,"5,334"
,1998.0,VA10,,H8VA10049,"brooks, cornell william",D,-1.127,federal:house,VA,,,,,,,,cornell william brooks,739
,1998.0,VAS94,,S4VA00056,"north, oliver laurence",R,1.17,federal:senate,VA,,,,,,,,oliver north,"2,530"
0.693,2000.0,,0.188,15056,"ridge, tom",R,0.32299999999999995,state:governor,PA,103.0,House,"RIDGE, Thomas Joseph",0.18600000000000003,-267.27693999999997,0.718,0.207,tom ridge,965
-0.218,2000.0,AZ-9,,AZ25859,"welch, matt",D,-0.20199999999999999,state:upper,AZ,,,,,,,,matt welch,"1,480"
,2000.0,LA02,,H0LA02044,"morial, marc h",D,-0.245,federal:house,LA,,,,,,,,marc morial,"1,736"
0.297,2000.0,MT-25,,MT77682,"kirby, john",R,0.532,state:lower,MT,,,,,,,,john kirby,"4,148"
,2000.0,PRES,,P40001018,"jackson, jesse l",,-0.924,federal:president,00,,,,,,,,jesse jackson,"1,520"
0.863,2000.0,PRES,,P60003852,"forbes, steve",R,0.848,federal:president,00,,,,,,,,steve forbes,"1,806"
,2000.0,NJS00,,S0NJ00019,"whitman, christine todd",R,0.391,federal:senate,NJ,,,,,,,,christine todd whitman,605
,2000.0,MAS96,,S6MA00171,"weld, william f",R,0.315,federal:senate,MA,,,,,,,,william f weld,"1,148"
-0.826,2002.0,PRES,-0.32,14423,"gore, albert jr",D,-0.795,federal:president,00,102.0,Senate,"GORE, Albert Arnold, Jr.",-0.316,-105.70228,0.75,-0.34,al gore,"1,383"
0.8909999999999999,2002.0,,,FL3310,"bush, jeb & brogan, frank t",R,0.774,state:governor,FL,,,,,,,,jeb bush,"9,244"
-0.99,2002.0,,,MA137920,"reich, robert (g)",D,-1.403,state:governor,MA,,,,,,,,robert reich,"3,430"
,2002.0,,,MN70456,"ventura, jesse",I,0.5539999999999999,state:governor,MN,,,,,,,,jesse ventura,942
-1.232,2002.0,MT-15,,MT14483,"greenfield, jeff",D,-1.334,state:lower,MT,,,,,,,,jeff greenfield,633
,2002.0,MTS00,,S8MT00135,"schweitzer, brian david",D,-1.0090000000000001,federal:senate,MT,,,,,,,,brian schweitzer,699
1.736,2002.0,WY-28,,WY11386,"baker, mike",R,1.069,state:lower,WY,,,,,,,,mike baker,"3,647"
,2004.0,PRES,0.561,99908,"bush, george",R,0.7909999999999999,federal:president,00,102.0,President,"BUSH, George Herbert Walker",0.557,-68.02494,0.765,0.223,george h w bush,"2,484"
,2004.0,CA-3,,CA_CP1000686,"brown, willie l",D,-0.754,state:upper,CA,,,,,,,,willie brown,756
0.9490000000000001,2004.0,,,NY3737,"pataki, george e (g)",R,0.172,state:governor,NY,,,,,,,,george pataki,"1,298"
,2004.0,PRES,,P40002214,"dean, howard",D,-1.473,federal:president,00,,,,,,,,howard dean,"5,534"
,2004.0,MOS98,,S8MO00012,"nixon, jeremiah w (jay)",D,-0.763,federal:senate,MO,,,,,,,,jay nixon,783
1.247,2004.0,WI-22,,WI128222,"priebus, reince",R,1.113,state:upper,WI,,,,,,,,reince priebus,"7,130"
1.013,2006.0,,0.365,29704,"hutchinson, asa",R,1.05,state:governor,AR,107.0,House,"HUTCHINSON, Asa",0.358,-28.71661,0.857,0.371,asa hutchinson,863
-0.778,2006.0,,,AZ4,"napolitano, janet",D,-0.6579999999999999,state:governor,AZ,,,,,,,,janet napolitano,"1,335"
,2006.0,CA-22,,CA20319,"villaraigosa, antonio r",I,-0.852,state:upper,CA,,,,,,,,antonio villaraigosa,970
,2006.0,,,CA27542,"huffington, arianna",,-1.213,state:other,CA,,,,,,,,arianna huffington,"1,131"
